,X,Y,Z,ColumnI,ColumnJ,ColumnK,RowI,RowJ,RowK,Row,Column,Rpixel,Cpixel
body,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,0,0,0,0,0,0,0
2ch,91.38992712,-96.43031065,153.1405268,-0.576550107,0.817061793,0,0,0,-1,320,320,0.875,0.875
3ch,-81.5655675,-120.571058,103.1155785,-0.022690767,0.999558312,-0.019191417,0.645776285,0,-0.763526679,240,240,1.1666666,1.1666666
4ch,-123.9810973,-92.05657133,-88.64976847,0.997014659,-9.55E-10,-0.077212491,0.048006449,0.783220066,0.619888465,240,240,1.25,1.25
Slice1,-88.2,-137,117,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice2,-83.6,-142,112,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice3,-79.1,-147,108,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice4,-74.5,-152,104,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice5,-70,-157,99.4,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice6,-65.4,-162,95.1,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice7,-60.9,-167,90.9,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice8,-56.3,-172,86.6,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice9,-51.7,-177,82.3,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice10,-47.2,-182,78,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice11,-42.6,-187,73.7,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice12,-38.1,-192,69.4,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice13,-33.5,-197,65.1,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
Slice14,-28.9856,-202.059362,60.7902,0.761,0.646,0.057,-0.311,0.441,-0.842,320,320,0.938,0.938
